Name,ID_SRC,RA_CORR,DEC_CORR,RADEC_ERR_CORR,EXT,EXT_ERR,EXT_LIKE,ML_CTS,ML_CTS_ERR,ML_RATE,ML_RATE_ERR,ML_FLUX,ML_FLUX_ERR,DET_LIKE,ML_BKG,ML_EXP,inArea90,F_CONT_BEST_COMB,Z_BEST_COMB,SIGMA_Z_BEST_COMB,LAMBDA_BEST_COMB,ELAMBDA_BEST_COMB,SURV_BEST_COMB,RA_OPTCEN_BEST_COMB,DEC_OPTCEN_BEST_COMB,SPEC_Z_BEST_COMB,N_SPEC,MASSPROX_BEST_COMB,F_CONT_2BEST_COMB,Z_2BEST_COMB,LAMBDA_2BEST_COMB,ELAMBDA_2BEST_COMB,SIGMA_Z_2BEST_COMB,SURV_2BEST_COMB,MASSPROX_2BEST_COMB,FLAG_OPTICAL_X_POS,MASKFRAC_3_FOOT,MASKFRAC_3_FLAGGED,MASKFRAC_R500_FOOT_BEST_COMB,MASKFRAC_R500_FLAGGED_BEST_COMB,MASKFRAC_R500_FOOT_2BEST_COMB,MASKFRAC_R500_FLAGGED_2BEST_COMB,RA_GDMAP_2BEST_COMB,DEC_GDMAP_2BEST_COMB,Alpha,Delta,Beta,Ellip,Centershift,DIST_NEXT_OPT_R500,DISTNEXT_XCLUST_MPC,DISTNEXT_XCLUST_R500,MCMF_NWAY_SECTOR
eFEDS J093712.9+031652,38,144.3035678286463,3.281043248079495,4.0,26.96547,5.968361,19.696564,83.2592,16.002958,0.07033885,0.013519583,6.635741E-14,1.2754323E-14,25.99643,6.7244663,1183.6873,true,0.124957,0.24744,0.015551760953766727,7.325609,2.990705,1,144.30099487304688,3.2782130241394043,-1.0,1.0,1.078813215059311,0.050969,0.35292,12.24000507575059,3.9903838942909244,0.013142735641328153,2,1.5561491567873529,3,0.0,0.0,0.0,0.0,0.0,0.0,144.301001,3.278213,0.057188064575010744,0.2604474065501773,0.2916170187045794,0.599467,0.45608614403921305,8.338902,7.388609391377004,9.777046966178217,A
eFEDS J083811.9-015935,53,129.54956937680825,-1.9929625676563032,1.3810656934714842,8.41508,0.67121434,163.66698,840.9273,32.609806,0.7421049,0.028777631,7.0009894E-13,2.7148709E-14,2105.1458,7.0620065,1133.165,true,0.0,0.56002,0.007157434093552574,62.982009,8.491773,1,129.54885864257812,-1.992488980293274,-1.0,0.0,8.39014065306618,0.28816,0.123775,3.088855,2.169887,0.016450381635668233,1,1.7815884671740063,3,0.0,0.0,0.0,0.0,0.0,0.02043327213243271,129.554296,-2.046818,0.1314100920797464,0.2315233504600609,0.21112816336531942,0.48239699999999996,0.2582118222335651,5.109306,6.826096173912715,5.099521642923818,A
eFEDS J093521.0+023234,82,143.83740358134753,2.542871690824143,2.2569551906169405,11.646078,0.9217962,175.88947,789.41034,32.89579,0.66304064,0.027629795,6.2551006E-13,2.6065845E-14,1645.813,7.198423,1190.5912,true,0.0,0.50982,0.005174685772215613,149.226537,12.886563,1,143.8379669189453,2.539184093475342,0.5155607461929321,4.0,7.548806603977643,0.33379,0.2249,3.158498616328359,2.472042534513235,0.022040701869149946,2,3.289263459485182,3,0.0,0.0,0.0,0.0011433598918541808,0.0,0.03607719245264157,143.767975,2.580924,0.14971221448324623,0.21434794932007895,0.22725444394709288,0.441991,0.3136912235516414,99.900002,0.91468569371839,0.6947034807007922,A
eFEDS J092121.2+031726,100,140.33847592690762,3.2906041403253843,2.786281091597162,31.71777,1.4206271,478.5533,1507.9562,56.981632,1.1107146,0.04197093,1.047844E-12,3.959522E-14,1729.747,9.523839,1357.6451,true,0.0,0.354975,0.005172742878038227,123.050389,11.33279,1,140.33795166015625,3.2870094776153564,0.33293500542640686,4.0,6.751583453770105,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.12634211428803757,0.21679382443657247,0.3965600858396628,0.548407,0.25304532631511945,99.900002,6.280532464384731,4.680137380200071,A
eFEDS J085751.7+031039,108,134.46529962923591,3.177539048646133,5.122586713285241,57.36883,1.69607,742.2099,2941.5022,104.56713,2.500211,0.08887972,2.3586896E-12,8.3848794E-14,2053.947,8.814203,1176.5016,true,0.0,0.197875,0.004560263152492527,97.852655,10.832115,1,134.47479248046875,3.176485061645508,0.20054000616073608,3.0,5.630906184822303,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.18438221701245774,0.29803326228854077,0.31581691047750604,0.452866,0.2658609409086729,1.704293,2.833925428030887,2.1267804323269304,A
eFEDS J092647.5+050033,137,141.6979541695265,5.0090532154108445,3.680026742772975,34.240242,1.7048417,505.36676,1269.6482,53.11301,0.9886988,0.041360095,9.327347E-13,3.901896E-14,1395.7153,8.219672,1284.1608,true,0.0,0.45492,0.0051646878348698575,161.260876,13.546758,1,141.6969451904297,5.001109600067139,-1.0,0.0,8.005303258427626,0.063477,0.2929,11.933075,3.999637,0.013209547638435671,1,5.13389708676145,4,0.0,0.0,0.0,0.0,0.0,0.0,141.70801,4.984427,0.0783230021560612,0.13799704611701535,0.31529241772826877,0.591055,0.26034845568247733,99.900002,0.31591683489489497,0.23057524287811051,A
eFEDS J084528.7+032739,144,131.3695000546996,3.460887321440867,3.187693411727107,28.416616,1.6418015,316.6985,942.2209,43.392887,0.8742669,0.040263347,8.2478013E-13,3.798429E-14,1182.9568,6.457707,1077.7268,true,0.0,0.349895,0.0062593171509599385,64.422377,9.644704,1,131.3656768798828,3.460808038711548,0.33432500064373016,4.0,5.913719051745131,0.21868,0.101565,3.7535,2.587908,0.012896425708033272,1,1.6095215539492616,3,0.0,0.0,0.0,0.0,0.0,0.0031316268159477995,131.410192,3.474332,0.1306019837174984,0.1666594955943334,0.19700107011742637,0.04605099999999995,0.25438929266433385,99.900002,19.738748207751694,15.34560384048637,B1
eFEDS J092002.2+010220,150,140.00902744350356,1.038867534490046,2.70737251448519,14.811505,1.1509447,179.59393,693.43646,32.079433,0.4535109,0.02098011,4.2784046E-13,1.9792558E-14,1049.6447,11.553652,1529.0403,true,-1.0,0.017000000923871994,0.0010000000474974513,1.2799999713897705,-1.0,-1,140.009053,1.038316,0.017000000923871994,1.0,0.16939999999999997,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.016976460814476013,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,,,,,,,,,B1
eFEDS J090131.2+030057,152,135.37998941549935,3.0156964610562023,5.006569434519275,33.493958,1.6655592,373.94992,1196.7882,51.578068,1.0130879,0.04366112,9.557433E-13,4.118974E-14,1266.6915,8.411389,1181.3271,true,0.0,0.194335,0.004822637963511418,62.315474,8.707572,1,135.37948608398438,3.0156445503234863,0.1932400017976761,3.0,3.496636432635931,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.1216646358370781,0.0,0.035887615107373746,1.0,1.0,-99.9000015258789,-99.9,0.15859204145844033,0.32078078074962824,0.2537691347663694,0.48915,0.31087781735790787,0.470425,0.4863260724333356,0.427306531326486,B1
eFEDS J083651.3+030002,197,129.21382491203104,3.0006363015042026,3.5054222080568045,28.246906,3.1939154,153.49612,747.97363,42.94674,0.630289,0.03618959,5.946123E-13,3.4141123E-14,747.8783,7.3684835,1186.7153,true,0.0,0.196038,0.005304867148968227,42.482027,7.022352,1,129.21435546875,3.000413656234741,0.19226499646902084,6.0,2.6973060712853774,0.395992,0.53536,7.108770411681891,4.191763388956189,0.027878272300280355,2,7.502180821175659,3,0.0,0.10610288381576538,0.0,0.052589068542894524,0.0,0.10803722003822028,129.240461,3.018203,0.1504003643859535,0.3890329855219784,0.46262340812143266,0.14094600000000002,0.2698114257269141,99.900002,0.16520002930089675,0.15835618468438273,B1
eFEDS J091057.2+041730,206,137.7384208057853,4.2917691580764314,4.811023836759394,21.886211,4.131019,20.425032,108.972824,15.899747,0.09200685,0.0134243155,8.6798915E-14,1.2664448E-14,53.82049,7.146261,1184.399,true,0.013888,0.46848,0.010291927271987605,29.931358,6.29969,1,137.7401580810547,4.2942705154418945,-1.0,2.0,2.3877455208921403,0.301362,0.85529,15.554157787955523,4.276335486715793,0.013435980475443638,2,4.091850730357044,3,0.0,0.0,0.0,0.0,0.0,0.0,137.742636,4.290956,0.17848861260214272,0.26714308416703236,0.30045170547474254,0.27033799999999997,0.28662183855651907,99.900002,14.702561903846254,16.14069510911171,A
eFEDS J093513.1+004758,213,143.80456947880543,0.7993860913557284,3.939249655830514,57.486755,2.390917,332.79205,1581.6263,76.43827,1.3336883,0.064455695,1.2581965E-12,6.080726E-14,836.9308,7.624602,1185.904,true,0.0,0.364465,0.0048873670306311175,169.001842,14.155135,1,143.80197143554688,0.8049700260162354,0.3560299873352051,7.0,7.615243764087634,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,0.1568933103559677,0.2653063278991471,0.2681074285252442,0.398602,0.26218287230281806,1.449052,2.156587231008625,1.5490431785570038,A
eFEDS J092023.2+013444,222,140.09672695180078,1.5789006648119703,2.1691407470198043,10.604721,1.1231561,88.36511,443.5491,24.856386,0.2957797,0.016575424,2.7903745E-13,1.5637192E-14,719.56323,9.956611,1499.5928,true,0.0,0.7075,0.0112671800632437,72.659825,9.830663,1,140.0960693359375,1.5794450044631958,-1.0,1.0,6.3746186268944385,0.131416,0.236975,6.998915,2.94165,0.015281840128965026,1,2.178635764320607,3,0.0,0.0,0.0,0.0,0.0,0.0,140.100019,1.566794,0.13914161748219467,0.20817437136436873,0.2760596207639809,0.42132899999999995,0.26811711026084606,99.900002,20.790154965383472,17.995661135813975,A
eFEDS J084034.6+023639,250,130.14406344279814,2.6107645121203866,2.055724538052203,8.039186,1.0068433,114.63698,344.86673,21.069643,0.28770825,0.017577544,2.7142289E-13,1.658259E-14,661.77527,6.7609487,1198.6682,true,-1.0,0.04899999871850014,0.0010000000474974513,0.9490000009536743,-1.0,-1,130.14339,2.611334,0.04899999871850014,1.0,0.42,1.0,-1.0,0.0,0.0,0.0,0,-6.999999999999999E-15,3,0.0,0.0,0.0,0.0,1.0,1.0,-99.9000015258789,-99.9,,,,,,,,,B1
eFEDS J092735.4+014424,266,141.89742796789346,1.7398987285993504,4.0,60.0,-19997.652,32.85758,284.28812,41.62326,0.24350694,0.0356524,2.2972352E-13,3.363434E-14,43.168068,6.58069,1167.4744,true,0.006595,0.152525,0.005832488221808463,23.451819,5.056424,1,141.88656616210938,1.7602570056915283,0.14855000376701355,3.0,1.2638874967483582,0.156932,0.41316,7.799478093384384,3.263097513557434,0.020764203680623115,2,3.5592870310850695,3,0.0,0.0,0.0,0.0,0.0,0.0,141.904498,1.727511,0.10221457171705231,0.17082903090875118,0.14022305721870798,0.052529999999999966,0.377490959424957,7.067376,6.429447627246026,7.825498984707892,A
