XLSSC,RAJ2000,DEJ2000,z,Ngal,C60,F60,e_F60,Ez,r500MT,T300kpc,e_T300kpc,e_t300kpc_lc,LXXL300kpc,e_LXXL300kpc,Lbol500MT,e_Lbol500MT,M500MT,e_M500MT,Mgas500,e_Mgas500,Flag,Simbad
94,30.648,-6.732,0.886,3,199,4.82,0.44,1.62,0.74,4.68,0.88,1.25,19.85,1.71,62.01,5.35,,,1.61,0.59,0,Simbad
96,30.973,-5.027,0.52,6,161,3.64,0.39,1.31,1.0,5.47,1.13,2.01,3.77,0.4,16.05,1.71,48.0,31.0,2.02,0.74,0,Simbad
102,31.322,-4.652,0.969,3,199,4.2,0.36,1.69,0.57,3.21,0.54,0.83,13.31,1.41,33.56,3.56,19.0,11.0,2.23,0.71,0,Simbad
106,31.351,-5.732,0.3,14,681,9.13,0.39,1.16,0.86,3.32,0.28,0.38,3.16,0.15,10.48,0.49,24.0,11.0,2.15,0.5,0,Simbad
107,31.354,-7.594,0.436,3,263,5.58,0.41,1.25,0.71,2.72,0.35,0.44,3.82,0.32,10.33,0.88,15.9,7.6,1.14,0.35,0,Simbad
100,31.549,-6.193,0.915,6,124,3.55,0.52,1.64,0.69,4.27,1.17,1.74,11.12,2.5,32.42,7.28,26.0,18.0,1.73,0.5,0,Simbad
93,31.699,-6.948,0.429,6,418,7.23,0.41,1.24,0.81,3.41,0.38,0.55,4.75,0.31,14.91,0.96,23.0,11.0,2.48,0.6,0,Simbad
108,31.832,-4.827,0.254,4,451,6.16,0.34,1.13,0.7,2.24,0.15,0.26,1.49,0.1,3.86,0.26,12.7,5.6,0.52,0.1,0,Simbad
95,31.962,-5.206,0.138,12,141,3.09,0.32,1.06,0.45,0.9,0.05,0.07,0.15,0.03,0.24,0.04,2.9,1.3,0.03,0.01,0,Simbad
92,32.071,-7.276,0.432,3,166,3.14,0.33,1.24,0.77,3.13,0.64,0.76,2.11,0.24,6.24,0.7,20.0,11.0,1.39,0.39,0,Simbad
101,32.193,-4.436,0.756,9,332,5.49,0.36,1.5,0.79,4.55,0.81,0.78,12.27,0.96,39.95,3.13,31.0,16.0,2.76,0.52,0,Simbad
109,32.296,-6.346,0.491,2,146,5.11,0.61,1.29,0.79,3.45,0.83,1.3,4.71,0.78,14.34,2.37,23.0,15.0,1.46,0.62,0,Simbad
112,32.514,-5.462,0.139,14,178,5.89,0.62,1.07,0.65,1.76,0.15,0.25,0.49,0.06,1.15,0.15,9.0,4.1,0.42,0.12,0,Simbad
83,32.735,-6.2,0.43,5,293,4.68,0.32,1.24,0.94,4.49,0.7,1.14,3.14,0.25,12.11,0.98,37.0,20.0,3.07,0.96,0,Simbad
84,32.767,-6.211,0.43,6,173,3.28,0.32,1.24,0.94,4.47,1.32,1.57,1.38,0.21,6.18,0.84,36.0,25.0,2.33,1.02,0,Simbad
85,32.87,-6.196,0.428,3,206,4.09,0.36,1.24,0.98,4.77,1.0,1.98,2.56,0.26,11.46,1.18,41.0,27.0,1.44,0.29,0,Simbad
111,33.111,-5.627,0.299,12,707,14.0,0.57,1.16,1.02,4.53,0.46,0.59,4.27,0.21,18.06,0.87,40.0,18.0,2.44,0.57,0,Simbad
98,33.115,-6.076,0.297,5,133,3.48,0.42,1.15,0.8,2.94,0.56,0.99,1.28,0.16,3.88,0.48,20.0,12.0,1.03,0.37,0,Simbad
99,33.22,-6.202,0.391,1,118,3.23,0.39,1.22,1.03,5.08,1.5,3.09,1.44,0.26,6.31,1.13,46.0,40.0,0.5,0.23,0,Simbad
97,33.342,-6.098,0.76,0,124,4.22,0.48,1.5,0.79,4.63,0.97,1.49,9.91,1.25,32.53,4.11,32.0,19.0,2.65,0.8,0,Simbad
110,33.537,-5.585,0.445,4,228,3.19,0.28,1.25,0.53,1.59,0.12,0.12,1.43,0.22,2.82,0.43,6.5,2.8,0.87,0.28,0,Simbad
60,33.668,-4.553,0.139,26,3553,23.03,0.43,1.07,1.14,4.77,0.16,0.16,3.75,0.05,18.57,0.24,47.0,20.0,3.69,0.46,0,Simbad
