eFEDS_ID,RA,Dec,z,T_500kpc,T_500kpc+,T_500kpc-,L52_500kpc,L52_500kpc+,L52_500kpc-,Lbol_500kpc,Lbol_500kpc+,Lbol_500kpc-
6605,130.353,0.777,0.41,1.61,0.17,0.13,2.32,0.16,0.17,4.81,0.46,0.41
144,131.37,3.461,0.33,5.8,0.59,0.48,19.18,0.84,0.67,67.1,3.88,3.88
7831,132.272,2.243,0.4,1.61,0.1,0.11,2.82,0.21,0.15,5.87,0.44,0.43
1023,132.616,0.251,0.2,3.08,0.14,0.13,3.55,0.04,0.05,9.29,0.25,0.22
6125,132.627,0.558,0.19,2.39,0.33,0.31,0.98,0.05,0.05,2.35,0.2,0.18
339,133.071,-1.025,0.46,5.57,0.81,0.63,18.3,0.71,0.76,62.82,4.09,6.48
4810,133.13,-1.208,0.55,2.06,2.12,0.72,4.56,1.06,1.85,10.14,3.84,4.1
1458,133.554,-2.357,0.38,4.47,0.78,0.72,11.59,0.53,0.75,35.63,3.34,4.39
2079,133.696,-1.359,0.35,3.27,0.56,0.38,4.59,0.23,0.27,12.23,0.86,0.98
569,134.086,1.78,0.72,4.94,0.16,0.16,29.96,0.55,0.44,96.29,2.02,1.94
1385,134.113,1.705,0.73,6.47,1.49,1.11,7.06,0.4,0.37,26.2,2.66,3.5
8857,134.658,1.449,0.75,,,,,,,,,
3171,135.269,1.279,0.25,1.7,0.24,0.2,2.64,0.26,0.63,5.69,0.76,1.3
8881,135.314,0.844,0.31,3.27,4.56,1.79,1.13,0.34,0.36,3.02,1.2,1.7
1104,135.372,-1.648,0.31,5.96,0.32,0.32,10.94,1.11,0.81,38.75,4.67,4.06
4232,135.443,-1.632,0.29,1.95,0.53,0.3,0.99,0.1,0.14,2.19,0.36,0.33
5655,135.735,1.774,0.12,0.97,0.11,0.12,0.02,0.11,0.02,0.04,0.19,0.04
1712,135.74,0.805,0.52,2.08,1.74,0.63,6.12,2.32,1.85,13.68,4.61,4.53
5774,136.036,1.432,0.84,,,,,,,,,
3590,136.078,2.112,0.81,4.99,8.64,2.3,10.17,1.35,3.57,32.84,7.6,13.35
12660,136.08,-1.077,0.31,2.68,1.51,0.81,0.81,0.21,0.14,2.01,0.55,0.47
3585,136.42,1.539,0.64,4.0,1.46,0.94,8.81,2.0,1.89,25.52,6.27,6.63
5170,136.473,0.379,0.37,1.22,0.14,0.18,2.33,0.38,0.46,4.42,0.74,0.94
9359,136.502,-0.423,0.3,1.92,1.46,0.51,1.0,0.66,0.67,2.2,1.89,1.4
3259,136.504,0.015,0.2,2.53,1.06,0.59,1.22,0.33,0.19,2.96,0.87,0.68
7086,136.654,1.148,0.79,,,,,,,,,
5219,136.977,0.961,0.74,4.74,2.17,1.44,9.92,1.76,1.6,31.21,5.25,7.57
7084,137.025,1.331,0.66,,,,,,,,,
885,137.308,-0.204,0.31,2.99,0.52,0.37,5.65,0.49,0.44,14.52,1.38,1.55
2004,137.314,-1.018,0.82,5.57,4.09,1.96,6.17,2.72,3.36,21.12,10.09,10.65
3523,137.386,-0.839,1.13,5.61,2.19,1.11,26.33,2.91,3.09,93.83,11.49,17.28
372,138.723,4.27,0.14,2.46,0.84,0.67,1.8,0.11,0.09,4.35,0.5,0.4
4253,138.801,4.585,0.36,5.18,-5.18,3.76,1.18,0.3,1.18,3.96,5.96,1.84
534,139.042,-0.397,0.32,6.04,0.35,0.35,13.86,0.32,0.34,49.42,1.96,1.85
100,140.338,3.291,0.33,7.83,0.31,0.31,19.66,0.25,0.23,79.71,0.85,1.93
857,140.55,-0.459,0.32,5.86,0.24,0.23,9.51,0.13,0.11,33.41,0.66,0.84
12565,142.473,0.467,0.15,,,,,,,,,
